unicode,sample,keywords,k_keywords
\U0001F469 \U000200D \U0001F9B3,👩‍🦳,"adult , white hair , woman","성인, 흰 머리, 여자"
\U0001F9D1 \U000200D \U0001F9B3,🧑‍🦳,"adult , gender-neutral , person , unspecified gender , white hair","성인, 성별 중립, 사람, 미정 성별, 흰 머리"
\U0001F469 \U000200D \U0001F9B2,👩‍🦲,"adult , bald , woman","성인, 대머리, 여자"
\U0001F9D1 \U000200D \U0001F9B2,🧑‍🦲,"adult , bald , gender-neutral , person , unspecified gender","성인, 대머리, 성별 중립, 사람, 미정 성별"
\U0001F471 \U000200D \U0002640 \U000FE0F,👱‍♀️,"blond-haired woman , blonde , hair , woman , woman: blond hair","금발 여자, 금발, 머리, 여자, 금발 머리 여자"
\U0001F471 \U000200D \U0002642 \U000FE0F,👱‍♂️,"blond , blond-haired man , hair , man , man: blond hair","금발, 금발 머리 남성, 머리, 남성, 금발 머리 남성"
\U0001F9D3,🧓,"adult , gender-neutral , old , older person , unspecified gender","성인, 성별 중립적인, 늙은, 늙은 사람, 성별 불명"
\U0001F474,👴,"adult , man , old","성인, 남성, 늙은"
\U0001F475,👵,"adult , old , woman","성인, 늙은, 여성"
\U0001F64D,🙍,"frown , gesture , person frowning","찡그림, 제스처, 찡그리는 사람"
\U0001F64D \U000200D \U0002642 \U000FE0F,🙍‍♂️,"frowning , gesture , man","찡그림, 제스처, 남성"
\U0001F64D \U000200D \U0002640 \U000FE0F,🙍‍♀️,"frowning , gesture , woman","찡그림, 제스처, 여성"
\U0001F64E,🙎,"gesture , person pouting , pouting","제스처, 입술을 구부리는 사람, 입술 구부리기"
\U0001F64E \U000200D \U0002642 \U000FE0F,🙎‍♂️,"gesture , man , pouting","제스처, 남성, 입술 구부리기"
\U0001F64E \U000200D \U0002640 \U000FE0F,🙎‍♀️,"gesture , pouting , woman","제스처, 입술 구부리기, 여성"
\U0001F645,🙅,"forbidden , gesture , hand , person gesturing NO , prohibited","금지, 제스처, 손, NO를 제스처하는 사람, 금지된"
\U0001F645 \U000200D \U0002642 \U000FE0F,🙅‍♂️,"forbidden , gesture , hand , man , man gesturing NO , prohibited","금지, 제스처, 손, 남성, NO를 제스처하는 남성, 금지된"
\U0001F645 \U000200D \U0002640 \U000FE0F,🙅‍♀️,"forbidden , gesture , hand , prohibited , woman , woman gesturing NO","금지, 제스처, 손, 금지된, 여성, NO를 제스처하는 여성"
\U0001F646,🙆,"gesture , hand , OK , person gesturing OK","제스처, 손, OK, OK를 제스처하는 사람"
\U0001F646 \U000200D \U0002642 \U000FE0F,🙆‍♂️,"gesture , hand , man , man gesturing OK , OK","제스처, 손, 남성, 남성이 OK를 제스처하는 OK"
\U0001F646 \U000200D \U0002640 \U000FE0F,🙆‍♀️,"gesture , hand , OK , woman , woman gesturing OK","제스처, 손, OK, 여성, 여성이 OK를 제스처하는 OK"
\U0001F481,💁,"hand , help , information , person tipping hand , sassy , tipping","손, 도움, 정보, 손으로 알리는 사람, 건방진, 알리는"
\U0001F481 \U000200D \U0002642 \U000FE0F,💁‍♂️,"man , man tipping hand , sassy , tipping hand","남성, 손으로 알리기, 건방진, 알리는 손"
\U0001F481 \U000200D \U0002640 \U000FE0F,💁‍♀️,"sassy , tipping hand , woman , woman tipping hand","건방진, 알리는 손, 여성, 여성이 알리는 손"
\U0001F64B,🙋,"gesture , hand , happy , person raising hand , raised","제스처, 손, 행복, 손을 들어 올리는 사람, 들린"
\U0001F64B \U000200D \U0002642 \U000FE0F,🙋‍♂️,"gesture , man , man raising hand , raising hand","제스처, 남성, 남성이 손을 들어 올리는, 손을 들린"
\U0001F64B \U000200D \U0002640 \U000FE0F,🙋‍♀️,"gesture , raising hand , woman , woman raising hand","제스처, 손을 들어 올리는, 여성, 여성이 손을 들어 올리는"
\U0001F9CF,🧏,"accessibility , deaf , deaf person , ear , hear","접근성, 청각 장애인, 청각 장애인, 귀, 들리는"
\U0001F9CF \U000200D \U0002642 \U000FE0F,🧏‍♂️,"deaf , man","청각 장애인, 남성"
\U0001F9CF \U000200D \U0002640 \U000FE0F,🧏‍♀️,"deaf , woman","청각 장애인, 여성"
\U0001F647,🙇,"apology , bow , gesture , person bowing , sorry","사과, 절, 제스처, 절하는 사람, 미안"
\U0001F647 \U000200D \U0002642 \U000FE0F,🙇‍♂️,"apology , bowing , favor , gesture , man , sorry","사과, 절하는, 호의, 제스처, 남성, 미안"
\U0001F647 \U000200D \U0002640 \U000FE0F,🙇‍♀️,"apology , bowing , favor , gesture , sorry , woman","사과, 절하는, 호의, 제스처, 미안, 여성"
\U0001F926,🤦,"disbelief , exasperation , face , palm , person facepalming","의아함, 좌절, 얼굴, 손바닥, 얼굴에 손바닥을 얹은 사람"
\U0001F926 \U000200D \U0002642 \U000FE0F,🤦‍♂️,"disbelief , exasperation , facepalm , man , man facepalming","의아함, 좌절, 얼굴을 얹는, 남성, 얼굴에 손바닥을 얹은 남성"
\U0001F926 \U000200D \U0002640 \U000FE0F,🤦‍♀️,"disbelief , exasperation , facepalm , woman , woman facepalming","의아함, 좌절, 얼굴에 손바닥을 얹은, 여성, 얼굴에 손바닥을 얹은 여성"
\U0001F937,🤷,"doubt , ignorance , indifference , person shrugging , shrug","의심, 무지, 무관심, 어깨를 으쓱하는 사람, 으쓱"
\U0001F937 \U000200D \U0002642 \U000FE0F,🤷‍♂️,"doubt , ignorance , indifference , man , man shrugging , shrug","의심, 무지, 무관심, 남성, 남성이 어깨를 으쓱하는, 으쓱"
\U0001F937 \U000200D \U0002640 \U000FE0F,🤷‍♀️,"doubt , ignorance , indifference , shrug , woman , woman shrugging","의심, 무지, 무관심, 으쓱, 여성, 여성이 어깨를 으쓱하는"
\U0001F9D1 \U000200D \U0002695 \U000FE0F,🧑‍⚕️,"doctor , health worker , healthcare , nurse , therapist","의사, 보건직 종사자, 의료, 간호사, 치료사"
\U0001F468 \U000200D \U0002695 \U000FE0F,👨‍⚕️,"doctor , healthcare , man , man health worker , nurse , therapist","의사, 의료, 남성, 남성 의료 종사자, 간호사, 치료사"
\U0001F469 \U000200D \U0002695 \U000FE0F,👩‍⚕️,"doctor , healthcare , nurse , therapist , woman , woman health worker","의사, 의료, 간호사, 치료사, 여성, 여성 의료 종사자"
\U0001F9D1 \U000200D \U0001F393,🧑‍🎓,"graduate , student","졸업생, 학생"
\U0001F468 \U000200D \U0001F393,👨‍🎓,"graduate , man , student","졸업생, 남성, 학생"
\U0001F469 \U000200D \U0001F393,👩‍🎓,"graduate , student , woman","졸업생, 학생, 여성"
\U0001F9D1 \U000200D \U0001F3EB,🧑‍🏫,"instructor , professor , teacher","강사, 교수, 선생님"
\U0001F468 \U000200D \U0001F3EB,👨‍🏫,"instructor , man , professor , teacher","강사, 남성, 교수, 선생님"
\U0001F469 \U000200D \U0001F3EB,👩‍🏫,"instructor , professor , teacher , woman","강사, 교수, 선생님, 여성"
\U0001F9D1 \U000200D \U0002696 \U000FE0F,🧑‍⚖️,"judge , justice , scales","판사, 사법, 저울"
\U0001F468 \U000200D \U0002696 \U000FE0F,👨‍⚖️,"judge , justice , man , scales","판사, 사법, 남성, 저울"
\U0001F469 \U000200D \U0002696 \U000FE0F,👩‍⚖️,"judge , justice , scales , woman","판사, 사법, 저울, 여성"
\U0001F9D1 \U000200D \U0001F33E,🧑‍🌾,"farmer , gardener , rancher","농부, 정원사, 목장주"
\U0001F468 \U000200D \U0001F33E,👨‍🌾,"farmer , gardener , man , rancher","농부, 정원사, 남성, 목장주"
\U0001F469 \U000200D \U0001F33E,👩‍🌾,"farmer , gardener , rancher , woman","농부, 정원사, 목장주, 여성"
\U0001F9D1 \U000200D \U0001F373,🧑‍🍳,"chef , cook","요리사, 주방장"
\U0001F468 \U000200D \U0001F373,👨‍🍳,"chef , cook , man","요리사, 남성, 주방장"
\U0001F469 \U000200D \U0001F373,👩‍🍳,"chef , cook , woman","요리사, 주방장, 여성"
\U0001F9D1 \U000200D \U0001F527,🧑‍🔧,"electrician , mechanic , plumber , tradesperson","전기 기사, 정비사, 배관공, 기술자"
\U0001F468 \U000200D \U0001F527,👨‍🔧,"electrician , man , mechanic , plumber , tradesperson","전기 기사, 남성, 정비사, 배관공, 기술자"
\U0001F469 \U000200D \U0001F527,👩‍🔧,"electrician , mechanic , plumber , tradesperson , woman","전기 기사, 정비사, 배관공, 기술자, 여성"
\U0001F9D1 \U000200D \U0001F3ED,🧑‍🏭,"assembly , factory , industrial , worker","조립, 공장, 산업, 작업자"
\U0001F468 \U000200D \U0001F3ED,👨‍🏭,"assembly , factory , industrial , man , worker","조립, 공장, 산업, 남성, 작업자"
\U0001F469 \U000200D \U0001F3ED,👩‍🏭,"assembly , factory , industrial , woman , worker","조립, 공장, 산업, 여성, 작업자"
\U0001F9D1 \U000200D \U0001F4BC,🧑‍💼,"architect , business , manager , office worker , white-collar","건축가, 사업, 매니저, 사무직 종사자, 화이트 칼라"
\U0001F468 \U000200D \U0001F4BC,👨‍💼,"architect , business , man , man office worker , manager , white-collar","건축가, 사업, 남성, 남성 사무직 종사자, 매니저, 화이트 칼라"
\U0001F469 \U000200D \U0001F4BC,👩‍💼,"architect , business , manager , white-collar , woman , woman office worker","건축가, 사업, 매니저, 화이트 칼라, 여성, 여성 사무직 종사자"
\U0001F9D1 \U000200D \U0001F52C,🧑‍🔬,"biologist , chemist , engineer , physicist , scientist","생물학자, 화학자, 엔지니어, 물리학자, 과학자"
\U0001F468 \U000200D \U0001F52C,👨‍🔬,"biologist , chemist , engineer , man , physicist , scientist","생물학자, 화학자, 엔지니어, 남성, 물리학자, 과학자"
\U0001F469 \U000200D \U0001F52C,👩‍🔬,"biologist , chemist , engineer , physicist , scientist , woman","생물학자, 화학자, 엔지니어, 물리학자, 과학자, 여성"
\U0001F9D1 \U000200D \U0001F4BB,🧑‍💻,"coder , developer , inventor , software , technologist","코더, 개발자, 발명가, 소프트웨어, 기술자"
\U0001F468 \U000200D \U0001F4BB,👨‍💻,"coder , developer , inventor , man , software , technologist","코더, 개발자, 발명가, 남성, 소프트웨어, 기술자"
\U0001F469 \U000200D \U0001F4BB,👩‍💻,"coder , developer , inventor , software , technologist , woman","코더, 개발자, 발명가, 소프트웨어, 기술자, 여성"
\U0001F9D1 \U000200D \U0001F3A4,🧑‍🎤,"actor , entertainer , rock , singer , star","배우, 예술가, 록, 가수, 스타"
\U0001F468 \U000200D \U0001F3A4,👨‍🎤,"actor , entertainer , man , rock , singer , star","배우, 예술가, 남성, 록, 가수, 스타"
\U0001F469 \U000200D \U0001F3A4,👩‍🎤,"actor , entertainer , rock , singer , star , woman","배우, 예술가, 록, 가수, 스타, 여성"
\U0001F9D1 \U000200D \U0001F3A8,🧑‍🎨,"artist , palette","예술가, 팔레트"
\U0001F468 \U000200D \U0001F3A8,👨‍🎨,"artist , man , palette","예술가, 남성, 팔레트"
\U0001F469 \U000200D \U0001F3A8,👩‍🎨,"artist , palette , woman","예술가, 팔레트, 여성"
\U0001F9D1 \U000200D \U0002708 \U000FE0F,🧑‍✈️,"pilot , plane","파일럿, 비행기"
\U0001F468 \U000200D \U0002708 \U000FE0F,👨‍✈️,"man , pilot , plane","남성, 파일럿, 비행기"
\U0001F469 \U000200D \U0002708 \U000FE0F,👩‍✈️,"pilot , plane , woman","파일럿, 비행기, 여성"
\U0001F9D1 \U000200D \U0001F680,🧑‍🚀,"astronaut , rocket","우주비행사, 로켓"
\U0001F468 \U000200D \U0001F680,👨‍🚀,"astronaut , man , rocket","우주비행사, 남성, 로켓"
\U0001F469 \U000200D \U0001F680,👩‍🚀,"astronaut , rocket , woman","우주비행사, 로켓, 여성"
\U0001F9D1 \U000200D \U0001F692,🧑‍🚒,"firefighter , firetruck","소방관, 소방차"
\U0001F468 \U000200D \U0001F692,👨‍🚒,"firefighter , firetruck , man","소방관, 소방차, 남성"
\U0001F469 \U000200D \U0001F692,👩‍🚒,"firefighter , firetruck , woman","소방관, 소방차, 여성"
\U0001F46E,👮,"cop , officer , police","경찰관, 경찰"
\U0001F46E \U000200D \U0002642 \U000FE0F,👮‍♂️,"cop , man , officer , police","경찰관, 남성, 경찰"
\U0001F46E \U000200D \U0002640 \U000FE0F,👮‍♀️,"cop , officer , police , woman","경찰관, 경찰, 여성"
\U0001F575,🕵,"detective , sleuth , spy","형사, 추적자, 스파이"
\U0001F575 \U000FE0F \U000200D \U0002642 \U000FE0F,🕵️‍♂️,"detective , man , sleuth , spy","형사, 남성, 추적자, 스파이"
\U0001F575 \U000FE0F \U000200D \U0002640 \U000FE0F,🕵️‍♀️,"detective , sleuth , spy , woman","형사, 추적자, 스파이, 여성"
\U0001F482,💂,guard,경비원
\U0001F482 \U000200D \U0002642 \U000FE0F,💂‍♂️,"guard , man","경비원, 남성"
\U0001F482 \U000200D \U0002640 \U000FE0F,💂‍♀️,"guard , woman","경비원, 여성"
\U0001F977,🥷,"fighter , hidden , ninja , stealth","전사, 숨은, 닌자, 은신"
\U0001F477,👷,"construction , hat , worker","건설, 모자, 작업자"
\U0001F477 \U000200D \U0002642 \U000FE0F,👷‍♂️,"construction , man , worker","건설, 남성, 작업자"
\U0001F477 \U000200D \U0002640 \U000FE0F,👷‍♀️,"construction , woman , worker","건설, 여성, 작업자"
\U0001FAC5,🫅,"monarch , noble , person with crown , regal , royalty","군주, 귀족, 왕관을 쓴 사람, 귀족의, 왕위의"
\U0001F934,🤴,prince,왕자
\U0001F478,👸,"fairy tale , fantasy , princess","동화, 판타지, 공주"
\U0001F473,👳,"person wearing turban , turban","터번을 쓴 사람, 터번"
\U0001F473 \U000200D \U0002642 \U000FE0F,👳‍♂️,"man , man wearing turban , turban","남성, 터번을 쓴 남성, 터번"
\U0001F473 \U000200D \U0002640 \U000FE0F,👳‍♀️,"turban , woman , woman wearing turban","터번, 여성, 터번을 쓴 여성"
\U0001F472,👲,"cap , gua pi mao , hat , person , person with skullcap , skullcap","모자, 고발자, 모자, 사람, 전통 중국 모자를 쓴 사람, 전통 중국 모자"
\U0001F9D5,🧕,"headscarf , hijab , mantilla , tichel , woman with headscarf , bandana , head kerchief","두건, 히잡, 맨틸라, 티셸, 두건을 쓴 여성, 밴다나, 머리수건"
\U0001F935,🤵,"groom , person , person in tuxedo , tuxedo","신랑, 사람, 턱시도를 입은 사람, 턱시도"
\U0001F935 \U000200D \U0002642 \U000FE0F,🤵‍♂️,"man , man in tuxedo , tuxedo","남성, 턱시도를 입은 남성, 턱시도"
\U0001F935 \U000200D \U0002640 \U000FE0F,🤵‍♀️,"tuxedo , woman , woman in tuxedo","턱시도, 여성, 턱시도를 입은 여성"
\U0001F470,👰,"bride , person , person with veil , veil , wedding","신부, 사람, 베일을 쓴 사람, 베일, 결혼식"
\U0001F470 \U000200D \U0002642 \U000FE0F,👰‍♂️,"man , man with veil , veil","남성, 베일을 쓴 남성, 베일"
\U0001F470 \U000200D \U0002640 \U000FE0F,👰‍♀️,"veil , woman , woman with veil","베일, 여성, 베일을 쓴 여성"
\U0001F930,🤰,"pregnant , woman","임신한, 여성"
\U0001FAC3,🫃,"belly , bloated , full , pregnant , pregnant man","배, 팽창한, 가득 찬, 임신한, 임신한 남성"
\U0001FAC4,🫄,"belly , bloated , full , pregnant , pregnant person","배, 팽창한, 가득 찬, 임신한, 임신한 사람"
\U0001F931,🤱,"baby , breast , breast-feeding , nursing","아기, 유방, 수유, 수유 중인"
\U0001F469 \U000200D \U0001F37C,👩‍🍼,"baby , feeding , nursing , woman","아기, 수유, 수유 중인, 여성"
\U0001F468 \U000200D \U0001F37C,👨‍🍼,"baby , feeding , man , nursing","아기, 수유, 수유 중인 남성"
\U0001F9D1 \U000200D \U0001F37C,🧑‍🍼,"baby , feeding , nursing , person","아기, 수유, 수유 중인, 사람"
\U0001F47C,👼,"angel , baby , face , fairy tale , fantasy","천사, 아기, 얼굴, 동화, 판타지"
\U0001F385,🎅,"celebration , Christmas , claus , father , santa , Santa Claus","축하, 크리스마스, 클로스, 아버지, 산타클로스, 산타할아버지"
\U0001F936,🤶,"celebration , Christmas , claus , mother , Mrs. , Mrs. Claus","축하, 크리스마스, 클로스, 어머니, 산타클로스, 산타할머니"
\U0001F9D1 \U000200D \U0001F384,🧑‍🎄,"Claus, christmas , mx claus","클로스, 크리스마스"
\U0001F9B8,🦸,"good , hero , heroine , superhero , superpower","선량한, 영웅, 여주인공, 슈퍼히어로, 초능력"
\U0001F9B8 \U000200D \U0002642 \U000FE0F,🦸‍♂️,"good , hero , man , man superhero , superpower","선량한, 영웅, 남성, 남성 슈퍼히어로, 초능력"
\U0001F9B8 \U000200D \U0002640 \U000FE0F,🦸‍♀️,"good , hero , heroine , superpower , woman , woman superhero","선량한, 영웅, 여주인공, 초능력, 여성, 여성 슈퍼히어로"
\U0001F9B9,🦹,"criminal , evil , superpower , supervillain , villain","범죄자, 사악한, 초능력, 슈퍼빌런, 악당"
\U0001F9B9 \U000200D \U0002642 \U000FE0F,🦹‍♂️,"criminal , evil , man , man supervillain , superpower , villain","범죄자, 사악한, 남성, 남성 슈퍼빌런, 초능력, 악당"
\U0001F9B9 \U000200D \U0002640 \U000FE0F,🦹‍♀️,"criminal , evil , superpower , villain , woman , woman supervillain","범죄자, 사악한, 초능력, 악당, 여성, 여성 슈퍼빌런"
\U0001F9D9,🧙,"mage , sorcerer , sorceress , witch , wizard","마법사, 요술사, 여마법사, 마녀, 마법사"
\U0001F9D9 \U000200D \U0002642 \U000FE0F,🧙‍♂️,"man mage , sorcerer , wizard","남성 마법사, 요술사, 마법사"
\U0001F9D9 \U000200D \U0002640 \U000FE0F,🧙‍♀️,"sorceress , witch , woman mage","여마법사, 마녀, 여성 마법사"
\U0001F9DA,🧚,"fairy , Oberon , Puck , Titania","요정, 오베론, 퍽, 티타니아"
\U0001F9DA \U000200D \U0002642 \U000FE0F,🧚‍♂️,"man fairy , Oberon , Puck","남성 요정, 오베론, 퍽"
\U0001F9DA \U000200D \U0002640 \U000FE0F,🧚‍♀️,"Titania , woman fairy","티타니아, 여성 요정"
\U0001F9DB,🧛,"Dracula , undead , vampire","드라큘라, 언데드, 뱀파이어"
\U0001F9DB \U000200D \U0002642 \U000FE0F,🧛‍♂️,"Dracula , man vampire , undead","드라큘라, 남성 뱀파이어, 언데드"
\U0001F9DB \U000200D \U0002640 \U000FE0F,🧛‍♀️,"undead , woman vampire","언데드, 여성 뱀파이어"
\U0001F9DC,🧜,"mermaid , merman , merperson , merwoman","인어, 인어남자, 인어인간, 인어여자"
\U0001F9DC \U000200D \U0002642 \U000FE0F,🧜‍♂️,"merman , Triton","인어남자, 트리톤"
\U0001F9DC \U000200D \U0002640 \U000FE0F,🧜‍♀️,"mermaid , merwoman","인어, 인어여자"
\U0001F9DD,🧝,"elf , magical , LOTR style","엘프, 마법의, 반지의 제왕 스타일"
\U0001F9DD \U000200D \U0002642 \U000FE0F,🧝‍♂️,"magical , man elf","마법의, 남성 엘프"
\U0001F9DD \U000200D \U0002640 \U000FE0F,🧝‍♀️,"magical , woman elf","마법의, 여성 엘프"
\U0001F9DE,🧞,"djinn , genie , (non-human color)","지니, 요정, 비인간적인 색"
\U0001F9DE \U000200D \U0002642 \U000FE0F,🧞‍♂️,"djinn , man genie","지니, 남성 요정"
\U0001F9DE \U000200D \U0002640 \U000FE0F,🧞‍♀️,"djinn , woman genie","지니, 여성 요정"
\U0001F9DF,🧟,"undead , walking dead , zombie , (non-human color)","언데드, 걸어 다니는 시체, 좀비, 비인간적인 색"
\U0001F9DF \U000200D \U0002642 \U000FE0F,🧟‍♂️,"man zombie , undead , walking dead","남성 좀비, 언데드, 걸어 다니는 시체"
\U0001F9DF \U000200D \U0002640 \U000FE0F,🧟‍♀️,"undead , walking dead , woman zombie","언데드, 걸어 다니는 시체, 여성 좀비"
\U0001F9CC,🧌,"fairy tale , fantasy , monster , troll","동화, 판타지, 괴물, 트롤"
\U0001F486,💆,"face , massage , person getting massage , salon","얼굴, 마사지, 마사지 받는 사람, 미용실"
\U0001F486 \U000200D \U0002642 \U000FE0F,💆‍♂️,"face , man , man getting massage , massage","얼굴, 남성, 남성이 마사지 받는, 마사지"
\U0001F486 \U000200D \U0002640 \U000FE0F,💆‍♀️,"face , massage , woman , woman getting massage","얼굴, 마사지, 여성, 마사지 받는 여성"
\U0001F487,💇,"barber , beauty , haircut , parlor , person getting haircut","이발사, 미용, 머리 자르기, 미용실, 머리 자르는 사람"
\U0001F487 \U000200D \U0002642 \U000FE0F,💇‍♂️,"haircut , man , man getting haircut","머리 자르기, 남성, 남성 머리 자르는 사람"
\U0001F487 \U000200D \U0002640 \U000FE0F,💇‍♀️,"haircut , woman , woman getting haircut","머리 자르기, 여성, 여성 머리 자르는 사람"
\U0001F6B6,🚶,"hike , person walking , walk , walking","등산, 걷는 사람, 걷기, 걷고 있는"
\U0001F6B6 \U000200D \U0002642 \U000FE0F,🚶‍♂️,"hike , man , man walking , walk","등산, 남성, 남성이 걷는, 걷기"
\U0001F6B6 \U000200D \U0002640 \U000FE0F,🚶‍♀️,"hike , walk , woman , woman walking","등산, 걷기, 여성, 여성이 걷는"
\U0001F9CD,🧍,"person standing , stand , standing","서 있는 사람, 서기"
\U0001F9CD \U000200D \U0002642 \U000FE0F,🧍‍♂️,"man , standing","남성, 서 있는 사람"
\U0001F9CD \U000200D \U0002640 \U000FE0F,🧍‍♀️,"standing , woman","서기, 여성"
\U0001F9CE,🧎,"kneel , kneeling , person kneeling","무릎 꿇기, 꿇어 앉은 사람, 꿇기"
\U0001F9CE \U000200D \U0002642 \U000FE0F,🧎‍♂️,"kneeling , man",꿇어 앉은 남성
\U0001F9CE \U000200D \U0002640 \U000FE0F,🧎‍♀️,"kneeling , woman",꿇어 앉은 여성
\U0001F9D1 \U000200D \U0001F9AF,🧑‍🦯,"accessibility , blind , person with white cane","접근성, 시각 장애인, 백 지팡이를 가진 사람"
\U0001F468 \U000200D \U0001F9AF,👨‍🦯,"accessibility , blind , man , man with white cane","접근성, 시각 장애인, 남성, 백 지팡이를 가진 남성"
\U0001F469 \U000200D \U0001F9AF,👩‍🦯,"accessibility , blind , woman , woman with white cane","접근성, 시각 장애인, 여성, 백 지팡이를 가진 여성"
\U0001F9D1 \U000200D \U0001F9BC,🧑‍🦼,"accessibility , person in motorized wheelchair , wheelchair","접근성, 전동 휠체어를 탄 사람, 휠체어"
\U0001F468 \U000200D \U0001F9BC,👨‍🦼,"accessibility , man , man in motorized wheelchair , wheelchair","접근성, 남성, 전동 휠체어를 탄 남성, 휠체어"
\U0001F469 \U000200D \U0001F9BC,👩‍🦼,"accessibility , wheelchair , woman , woman in motorized wheelchair","접근성, 휠체어, 여성, 전동 휠체어를 탄 여성"
\U0001F9D1 \U000200D \U0001F9BD,🧑‍🦽,"accessibility , person in manual wheelchair , wheelchair","접근성, 수동 휠체어를 탄 사람, 휠체어"
\U0001F468 \U000200D \U0001F9BD,👨‍🦽,"accessibility , man , man in manual wheelchair , wheelchair","접근성, 남성, 수동 휠체어를 탄 남성, 휠체어"
\U0001F469 \U000200D \U0001F9BD,👩‍🦽,"accessibility , wheelchair , woman , woman in manual wheelchair","접근성, 휠체어, 여성, 수동 휠체어를 탄 여성"
\U0001F3C3,🏃,"marathon , person running , running","마라톤, 달리는 사람, 달리기"
\U0001F3C3 \U000200D \U0002642 \U000FE0F,🏃‍♂️,"man , marathon , racing , running","남성, 마라톤, 경주, 달리기"
\U0001F3C3 \U000200D \U0002640 \U000FE0F,🏃‍♀️,"marathon , racing , running , woman","마라톤, 경주, 달리기, 여성"
\U0001F483,💃,"dance , dancing , woman","춤, 춤추는, 여성"
\U0001F57A,🕺,"dance , dancing , man","춤, 춤추는, 남성"
\U0001F574,🕴,"business , person , person in suit levitating , suit","비즈니스, 사람, 옷을 입은 상태로 떠 있는 사람, 정장"
\U0001F46F,👯,"bunny ear , dancer , partying , people with bunny ears","토끼 귀, 댄서, 파티, 토끼 귀를 한 사람"
\U0001F46F \U000200D \U0002642 \U000FE0F,👯‍♂️,"bunny ear , dancer , men , men with bunny ears , partying","토끼 귀, 댄서, 남성, 토끼 귀를 한 남성, 파티"
\U0001F46F \U000200D \U0002640 \U000FE0F,👯‍♀️,"bunny ear , dancer , partying , women , women with bunny ears","토끼 귀, 댄서, 파티, 여성, 토끼 귀를 한 여성"
\U0001F9D6,🧖,"person in steamy room , sauna , steam room , hamam , steambath","증기가 나는 방, 사우나, 증기실, 스팀바스"
\U0001F9D6 \U000200D \U0002642 \U000FE0F,🧖‍♂️,"man in steamy room , sauna , steam room","증기가 나는 방, 사우나, 증기실, 남성"
\U0001F9D6 \U000200D \U0002640 \U000FE0F,🧖‍♀️,"sauna , steam room , woman in steamy room","사우나, 증기실, 증기가 나는 방, 여성"
\U0001F9D7,🧗,"climber , person climbing","등산가, 등산하는 사람"
\U0001F9D7 \U000200D \U0002642 \U000FE0F,🧗‍♂️,"climber , man climbing","등산가, 남성, 등산하는 남성"
\U0001F9D7 \U000200D \U0002640 \U000FE0F,🧗‍♀️,"climber , woman climbing","등산가, 여성, 등산하는 여성"
\U0001F93A,🤺,"fencer , fencing , person fencing , sword","펜싱, 검술, 펜싱하는 사람, 검"
\U0001F3C7,🏇,"horse , jockey , racehorse , racing","말, 기수, 경주마, 경마"
\U00026F7,⛷,"ski , skier , snow","스키, 스키어, 눈"
\U0001F3C2,🏂,"ski , snow , snowboard , snowboarder","스키, 눈, 스노보드, 스노보더"
\U0001F3CC,🏌,"ball , golf , person golfing","볼, 골프, 골퍼"
\U0001F3CC \U000FE0F \U000200D \U0002642 \U000FE0F,🏌️‍♂️,"golf , man , man golfing","골프, 남성, 골퍼인 남성"
\U0001F3CC \U000FE0F \U000200D \U0002640 \U000FE0F,🏌️‍♀️,"golf , woman , woman golfing","골프, 여성, 골퍼인 여성"
\U0001F3C4,🏄,"person surfing , surfing","서핑하는 사람, 서핑"
\U0001F3C4 \U000200D \U0002642 \U000FE0F,🏄‍♂️,"man , surfing","남성, 서핑"
\U0001F3C4 \U000200D \U0002640 \U000FE0F,🏄‍♀️,"surfing , woman",서핑하는 여성
\U0001F6A3,🚣,"boat , person rowing boat , rowboat","보트, 노젓는 사람, 노젓는 배"
\U0001F6A3 \U000200D \U0002642 \U000FE0F,🚣‍♂️,"boat , man , man rowing boat , rowboat","보트, 남성, 노젓는 남성, 노젓는 배"
\U0001F6A3 \U000200D \U0002640 \U000FE0F,🚣‍♀️,"boat , rowboat , woman , woman rowing boat","보트, 노젓는 배, 여성, 노젓는 여성"
\U0001F3CA,🏊,"person swimming , swim","수영하는 사람, 수영"
\U0001F3CA \U000200D \U0002642 \U000FE0F,🏊‍♂️,"man , man swimming , swim","남성, 수영하는 남성, 수영"
\U0001F3CA \U000200D \U0002640 \U000FE0F,🏊‍♀️,"swim , woman , woman swimming","수영, 여성, 수영하는 여성"
\U00026F9,⛹,"ball , person bouncing ball","공, 튀기는 사람"
\U00026F9 \U000FE0F \U000200D \U0002642 \U000FE0F,⛹️‍♂️,"ball , man , man bouncing ball","공, 남성, 공을 튀기는 남성"
\U00026F9 \U000FE0F \U000200D \U0002640 \U000FE0F,⛹️‍♀️,"ball , woman , woman bouncing ball","공, 여성, 공을 튀기는 여성"
\U0001F3CB,🏋,"lifter , person lifting weights , weight","역도 선수, 역기를 드는 사람, 역도 선수"
\U0001F3CB \U000FE0F \U000200D \U0002642 \U000FE0F,🏋️‍♂️,"man , man lifting weights , weight lifter","남성, 역기를 드는 남자, 역도 선수"
\U0001F3CB \U000FE0F \U000200D \U0002640 \U000FE0F,🏋️‍♀️,"weight lifter , woman , woman lifting weights","역도 선수, 여성, 역기를 드는 여성"
\U0001F6B4,🚴,"bicycle , biking , cyclist , person biking","자전거, 사이클링, 사이클리스트, 자전거를 타는 사람"
